sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0096;-0.182;9.8641;-0.016;-0.1641;9.8052;-0.0133;0.0076;0.2073;0.0;0.0;0.0;8.0;-13.31;7.75;-17.12;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;64;2022-11-16 22:12:42:900
-0.0096;-0.182;9.8641;-0.016;-0.1641;9.8052;-0.0133;0.0076;0.2073;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;74;2022-11-16 22:12:42:910
-0.0096;-0.182;9.8641;-0.016;-0.1641;9.8052;-0.0133;0.0076;0.2073;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;84;2022-11-16 22:12:42:920
-0.0096;-0.182;9.8641;-0.016;-0.1641;9.8052;-0.0133;0.0076;0.2073;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;94;2022-11-16 22:12:42:930
-0.0096;-0.182;9.8641;-0.016;-0.1641;9.8052;-0.0133;0.0076;0.2073;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;104;2022-11-16 22:12:42:940
0.0;-0.2011;9.8258;-0.016;-0.1641;9.8052;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;114;2022-11-16 22:12:42:950
0.0;-0.2011;9.8258;-0.016;-0.1641;9.8052;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-13.12;7.75;-17.5;59.38;0.97;0.1;5.0;18.62;;;;NaN;;;;0 / 0;124;2022-11-16 22:12:42:960
0.0;-0.2011;9.8258;-0.0149;-0.1683;9.8051;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;134;2022-11-16 22:12:42:970
0.0;-0.2011;9.8258;-0.0149;-0.1683;9.8051;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;144;2022-11-16 22:12:42:980
0.0;-0.2011;9.8258;-0.0149;-0.1683;9.8051;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;154;2022-11-16 22:12:42:990
0.0;-0.2011;9.8258;-0.0149;-0.1683;9.8051;0.0051;0.0386;0.1877;0.0;0.0;0.0;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;164;2022-11-16 22:12:43:000
0.0;-0.2011;9.8258;-0.0149;-0.1683;9.8051;0.0145;-1.0E-4;0.1681;0.0;0.0;0.0;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;176;2022-11-16 22:12:43:012
0.0;-0.2298;9.7588;-0.0149;-0.1683;9.8051;0.0145;-1.0E-4;0.1681;0.0024;0.0;-0.1747;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;184;2022-11-16 22:12:43:020
0.0;-0.2298;9.7588;-0.0126;-0.165;9.8052;0.0145;-1.0E-4;0.1681;0.0024;0.0;-0.1747;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;194;2022-11-16 22:12:43:030
0.0;-0.2298;9.7588;-0.0126;-0.165;9.8052;0.0145;-1.0E-4;0.1681;0.0024;0.0;-0.1747;8.0;-15.12;7.88;-20.75;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;204;2022-11-16 22:12:43:040
0.0;-0.2298;9.7588;-0.0126;-0.165;9.8052;0.0145;-1.0E-4;0.1681;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;214;2022-11-16 22:12:43:050
0.0;-0.2298;9.7588;-0.0126;-0.165;9.8052;0.0145;-1.0E-4;0.1681;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;224;2022-11-16 22:12:43:060
0.0;-0.2298;9.7588;-0.0126;-0.165;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;234;2022-11-16 22:12:43:070
-0.0479;-0.1245;9.7971;-0.0126;-0.165;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;245;2022-11-16 22:12:43:081
-0.0479;-0.1245;9.7971;-0.016;-0.1647;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;255;2022-11-16 22:12:43:091
-0.0479;-0.1245;9.7971;-0.016;-0.1647;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-14.12;7.88;-19.94;63.06;0.98;0.09;5.0;18.62;;;;NaN;;;;0 / 0;265;2022-11-16 22:12:43:101
-0.0479;-0.1245;9.7971;-0.016;-0.1647;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-15.69;8.31;-19.94;64.45;0.96;0.09;5.0;18.62;;;;NaN;;;;0 / 0;274;2022-11-16 22:12:43:110
-0.0479;-0.1245;9.7971;-0.016;-0.1647;9.8052;-0.0054;0.0014;0.2368;0.0024;0.0;-0.1747;8.0;-15.69;8.31;-19.94;64.45;0.96;0.09;5.0;18.141;;;;NaN;;;;0 / 0;284;2022-11-16 22:12:43:120
-0.0479;-0.1245;9.7971;-0.016;-0.1647;9.8052;0.0028;0.0043;0.2563;0.0024;0.0;-0.1747;8.0;-15.69;8.31;-19.94;64.45;0.96;0.09;5.0;18.141;;;;NaN;;;;0 / 0;294;2022-11-16 22:12:43:130
-0.0479;-0.1245;9.7971;-0.0145;-0.1609;9.8053;0.0028;0.0043;0.2563;0.0024;0.0;-0.1747;8.0;-15.69;8.31;-19.94;64.45;0.96;0.09;5.0;18.141;;;;NaN;;;;0 / 0;305;2022-11-16 22:12:43:141
