sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0862;0.0192;9.7779;0.1373;-0.0203;9.8056;0.049;7.0E-4;0.1775;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;7;2022-11-16 23:02:14:828
0.0862;0.0192;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;18;2022-11-16 23:02:14:839
0.0862;0.0192;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;28;2022-11-16 23:02:14:849
0.0862;0.0192;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;38;2022-11-16 23:02:14:859
0.0862;0.0192;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;48;2022-11-16 23:02:14:869
0.1245;-0.0096;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;119.0;-14.0;-11.19;11.44;130.26;0.11;-0.76;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;58;2022-11-16 23:02:14:879
0.1245;-0.0096;9.7779;0.135;-0.0172;9.8057;-0.0566;0.0074;0.197;0.0;0.0;0.0;127.0;-13.75;-11.25;11.69;127.78;0.1;-0.79;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;68;2022-11-16 23:02:14:889
0.1245;-0.0096;9.7779;0.1373;-0.0146;9.8056;0.0293;0.0146;0.1774;0.0;0.0;0.0;127.0;-13.75;-11.25;11.69;127.78;0.1;-0.79;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;79;2022-11-16 23:02:14:900
0.1245;-0.0096;9.7779;0.1373;-0.0146;9.8056;0.0293;0.0146;0.1774;0.0;0.0;0.0;127.0;-13.75;-11.25;11.69;127.78;0.1;-0.79;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;88;2022-11-16 23:02:14:909
0.1245;-0.0096;9.7779;0.1373;-0.0146;9.8056;0.0293;0.0146;0.1774;0.0;0.0;0.0;127.0;-13.75;-11.25;11.69;127.78;0.1;-0.79;5.0;17.826;46.035576;11.130806;;NaN;;899.999;;3 / 24;98;2022-11-16 23:02:14:919
