sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0807;0.0171;9.7525;-0.16;-0.0193;9.8053;0.2286;0.0193;-0.0575;0.12;0.25;0.15;41.1;-19.56;3.94;-27.44;79.08;0.12;0.93;5.0;32.633;;;;NaN;;;;0 / 0;33;2022-11-17 13:44:58:209
0.0807;0.0171;9.7525;-0.16;-0.0193;9.8053;0.2286;0.0193;-0.0575;0.12;0.25;0.15;41.1;-19.56;3.94;-27.44;79.08;0.12;0.93;5.0;32.633;;;;NaN;;;;0 / 0;43;2022-11-17 13:44:58:219
0.0807;0.0171;9.7525;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.12;0.25;0.15;41.1;-19.56;3.94;-27.44;79.08;0.12;0.93;5.0;32.633;;;;NaN;;;;0 / 0;52;2022-11-17 13:44:58:228
0.0807;0.0171;9.7525;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.12;0.25;0.15;41.1;-19.56;3.94;-27.44;79.08;0.12;0.93;5.0;32.633;;;;NaN;;;;0 / 0;62;2022-11-17 13:44:58:238
0.0807;0.0171;9.7525;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.12;0.25;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;72;2022-11-17 13:44:58:248
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;82;2022-11-17 13:44:58:258
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;92;2022-11-17 13:44:58:268
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;103;2022-11-17 13:44:58:279
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;112;2022-11-17 13:44:58:288
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;122;2022-11-17 13:44:58:298
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;132;2022-11-17 13:44:58:308
0.0754;0.019;9.7481;-0.1624;-0.0169;9.8052;0.2408;0.0169;-0.0672;0.09;0.22;0.15;41.1;-19.25;3.75;-27.31;78.51;0.1;0.95;5.0;32.633;;;;NaN;;;;0 / 0;143;2022-11-17 13:44:58:319
