"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.313780000E-4,-4.585375264E-2,-1.610818878E-2,9.726683617E0,9.726805037E0
2.793878000E-3,-3.864241391E-2,-2.240972780E-2,9.751439095E0,9.751541409E0
4.793878000E-3,-3.317405656E-2,-2.761951089E-2,9.767940521E0,9.768035902E0
6.793878000E-3,-3.314532712E-2,-2.659479342E-2,9.776119232E0,9.776211594E0
8.793878000E-3,-3.037763014E-2,-2.305137366E-2,9.765555382E0,9.765629835E0
1.079387800E-2,-3.106716089E-2,-2.378878742E-2,9.752388000E0,9.752466498E0
1.279387800E-2,-3.694731742E-2,-2.610637434E-2,9.738118172E0,9.738223255E0
1.479387800E-2,-3.526180238E-2,-2.898899466E-2,9.730016708E0,9.730123787E0
1.679387800E-2,-2.421974391E-2,-2.533065341E-2,9.729068756E0,9.729131878E0
1.879387800E-2,-2.085828595E-2,-2.514869533E-2,9.738693237E0,9.738748046E0
2.097044100E-2,-2.774400823E-2,-2.932418324E-2,9.762357712E0,9.762441177E0
2.279387800E-2,-2.615425922E-2,-3.055001423E-2,9.785313606E0,9.785396248E0
2.479387800E-2,-1.751597971E-2,-3.159388527E-2,9.795350075E0,9.795416687E0
2.679387800E-2,-1.843535155E-2,-3.277183324E-2,9.792514801E0,9.792586991E0
2.879387800E-2,-1.999637298E-2,-3.297294676E-2,9.776924133E0,9.777000183E0
3.079387800E-2,-2.337698638E-2,-4.035666212E-2,9.755337715E0,9.755449199E0
3.279544100E-2,-2.398990095E-2,-4.135265201E-2,9.733636856E0,9.733754260E0
3.479387800E-2,-2.137543261E-2,-4.840118065E-2,9.721817970E0,9.721961954E0
3.679387800E-2,-2.822284959E-2,-4.888001829E-2,9.725764275E0,9.725928054E0
3.893919100E-2,-3.456269577E-2,-4.425442591E-2,9.735992432E0,9.736154357E0
4.079387800E-2,-2.237142064E-2,-4.193683714E-2,9.766781807E0,9.766897463E0
4.279387800E-2,-1.947922446E-2,-4.344997555E-2,9.778762817E0,9.778878749E0
4.479387800E-2,-2.111686021E-2,-4.725196585E-2,9.777756691E0,9.777893668E0
4.679544100E-2,-1.750640385E-2,-4.680185392E-2,9.774213791E0,9.774341518E0
4.879544100E-2,-1.543781254E-2,-4.259763658E-2,9.763861656E0,9.763966782E0
5.079544100E-2,-2.259168774E-2,-3.547249362E-2,9.756659508E0,9.756750147E0
5.279544100E-2,-3.398808837E-2,-2.992752008E-2,9.752589226E0,9.752694369E0
5.479544100E-2,-4.559517652E-2,-2.673844621E-2,9.762845993E0,9.762989079E0
5.679387800E-2,-4.838202521E-2,-2.092532441E-2,9.769290924E0,9.769433139E0
5.879387800E-2,-4.997177795E-2,-1.824381575E-2,9.773524284E0,9.773669063E0
6.079387800E-2,-4.495352879E-2,-2.742797509E-2,9.782909393E0,9.783051125E0
6.279387800E-2,-2.892195620E-2,-3.131615743E-2,9.780362129E0,9.780455028E0
6.479387800E-2,-3.229299188E-2,-2.738009021E-2,9.770325661E0,9.770417392E0
6.679387800E-2,-2.939121984E-2,-3.256114200E-2,9.754369736E0,9.754468361E0
6.879544100E-2,-2.278322354E-2,-3.110546805E-2,9.743453026E0,9.743529314E0
7.079544100E-2,-1.790862903E-2,-1.902911626E-2,9.742389679E0,9.742424723E0
7.279544100E-2,-2.362598293E-2,-1.617522538E-2,9.747063637E0,9.747105692E0
