"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.145882000E-3,4.969999939E-2,1.353500009E0,6.608999968E-1,1.507057122E0
1.300994500E-2,4.969999939E-2,1.353500009E0,6.608999968E-1,1.507057122E0
2.359744500E-2,4.969999939E-2,1.353500009E0,6.608999968E-1,1.507057122E0
3.357869500E-2,1.569999941E-2,1.999999949E-4,-2.071999907E-1,2.077940474E-1
4.358025700E-2,6.309999526E-2,-4.729999974E-2,-1.582999974E-1,1.768552758E-1
5.357557000E-2,5.939999968E-2,-1.659999974E-2,-1.291999966E-1,1.431661939E-1
6.357713200E-2,5.819999799E-2,-5.439999700E-2,-6.129999831E-2,1.005200937E-1
7.357557000E-2,1.092999950E-1,-5.089999735E-2,-5.350000039E-2,1.319073488E-1
8.357557000E-2,1.307999939E-1,-6.570000201E-2,-3.700000048E-2,1.509772456E-1
9.357557000E-2,7.669999450E-2,-3.139999881E-2,-2.929999866E-2,8.790528428E-2
1.035755700E-1,8.029999584E-2,2.939999849E-2,1.499999966E-2,8.681848440E-2
1.135786950E-1,1.063999981E-1,-2.400000021E-2,-5.469999835E-2,1.220206926E-1
1.235755700E-1,4.389999807E-2,-8.379999548E-2,-1.626999974E-1,1.882045117E-1
1.335786950E-1,-3.499999875E-3,-7.369999588E-2,-1.527999938E-1,1.696813999E-1
1.435755700E-1,3.709999844E-2,-2.730000019E-2,-8.449999988E-2,9.623902470E-2
1.535771320E-1,5.339999869E-2,1.339999959E-2,-2.740000002E-2,6.149699058E-2
1.635786950E-1,4.289999977E-2,-4.699999932E-3,-6.709999591E-2,7.978038249E-2
1.735771320E-1,-1.279999968E-2,-2.919999883E-2,-1.257999986E-1,1.297771921E-1
1.835771320E-1,1.569999941E-2,-5.199999735E-2,-1.845999956E-1,1.924256950E-1
1.935771320E-1,6.099999882E-3,-3.599999845E-2,-1.551000029E-1,1.593399535E-1
2.035771320E-1,4.659999907E-2,-2.950000018E-2,-1.260000020E-1,1.375420315E-1
2.136161950E-1,3.109999932E-2,2.659999952E-2,-7.779999822E-2,8.790682372E-2
2.236333820E-1,-3.039999865E-2,-9.899999946E-3,-1.171999946E-1,1.214825447E-1
2.336130700E-1,-9.989999980E-2,-5.549999699E-2,-1.367999911E-1,1.782540244E-1
2.436130700E-1,-3.299999982E-3,-3.219999745E-2,-7.789999992E-2,8.435721560E-2
2.536130700E-1,4.319999740E-2,-6.809999794E-2,-6.819999963E-2,1.056176569E-1
2.636115070E-1,5.029999837E-2,-8.540000021E-2,-1.466999948E-1,1.770427585E-1
2.736318200E-1,1.789999940E-2,-2.510000020E-2,-1.860999912E-1,1.886362285E-1
2.836130700E-1,2.510000020E-2,2.489999868E-2,-1.763999909E-1,1.799082453E-1
2.936115070E-1,2.269999869E-2,8.429999650E-2,-1.469999999E-1,1.709701123E-1
3.036115070E-1,1.059999969E-2,7.479999959E-2,-7.849999517E-2,1.089479196E-1
3.136130700E-1,3.739999980E-2,2.549999952E-2,-2.950000018E-2,5.403017649E-2
3.236318200E-1,4.559999704E-2,-2.439999953E-2,-9.829999506E-2,1.110747889E-1
3.336130700E-1,5.200000014E-3,-6.699999794E-3,-1.571999937E-1,1.574286125E-1
3.436130700E-1,4.100000020E-3,3.969999775E-2,-1.670999974E-1,1.718002007E-1
3.536130700E-1,3.099999856E-3,5.629999936E-2,-1.671999991E-1,1.764515220E-1
3.636146320E-1,1.999999862E-3,4.360000044E-2,-1.475999951E-1,1.539178957E-1
3.736333820E-1,9.999999311E-4,4.069999978E-2,-1.280999929E-1,1.344139061E-1
3.836130700E-1,1.999999949E-4,1.860000007E-2,-1.379999965E-1,1.392479768E-1
3.936146320E-1,-9.999999747E-5,-2.699999837E-3,-1.968999952E-1,1.969185317E-1
4.036130700E-1,-1.040000003E-2,-6.209999695E-2,-2.458999902E-1,2.538333603E-1
4.136130700E-1,-5.040000007E-2,-7.099999487E-2,-1.870999932E-1,2.063675525E-1
4.236318200E-1,-6.099999696E-2,-3.949999809E-2,-8.899999410E-2,1.149010375E-1
4.336115070E-1,-2.190000005E-2,-7.799999788E-3,-5.959999934E-2,6.397350952E-2
4.436115070E-1,-1.899999916E-3,2.329999954E-2,-9.879999608E-2,1.015280218E-1
4.536115070E-1,-2.099999972E-2,4.419999942E-2,-1.281999946E-1,1.372220046E-1
4.636115070E-1,8.799999952E-3,7.419999689E-2,-1.378999949E-1,1.568422396E-1
4.736349450E-1,-2.999999851E-4,6.469999999E-2,-1.280999929E-1,1.435123276E-1
4.836115070E-1,-2.869999968E-2,3.549999744E-2,-8.879999816E-2,9.984677998E-2
4.936115070E-1,-7.599999756E-2,1.589999907E-2,-7.899999619E-2,1.107691699E-1
5.036786950E-1,-6.409999728E-2,5.699999630E-3,-4.949999973E-2,8.118835890E-2
5.136130700E-1,-6.219999865E-2,4.999999888E-3,-6.899999827E-2,9.303139036E-2
5.236333820E-1,-2.239999920E-2,4.309999943E-2,-1.081999987E-1,1.186027388E-1
5.336130700E-1,-3.299999982E-2,3.240000084E-2,-1.376999915E-1,1.452585546E-1
5.436130700E-1,-2.429999970E-2,2.209999971E-2,-1.572999954E-1,1.606928391E-1
5.536130700E-1,-6.799999624E-3,3.189999983E-2,-1.377999932E-1,1.416075143E-1
5.636130700E-1,9.999999747E-5,6.099999696E-2,-8.889999986E-2,1.078156742E-1
5.736333820E-1,6.599999964E-3,5.999999866E-2,-5.959999934E-2,8.482758844E-2
5.836130700E-1,1.349999942E-2,3.869999945E-2,-4.999999702E-2,6.465245273E-2
5.936130700E-1,1.169999968E-2,2.679999918E-2,-5.009999871E-2,5.800982520E-2
6.036146320E-1,1.099999994E-3,2.479999885E-2,-7.949999720E-2,8.328565001E-2
6.136130700E-1,-8.599999361E-3,-1.549999975E-2,-8.940000087E-2,9.114038697E-2
6.236318200E-1,-1.799999923E-2,-5.489999801E-2,-6.969999522E-2,9.053230963E-2
6.336115070E-1,2.300000051E-3,-6.379999965E-2,-5.009999871E-2,8.115257129E-2
6.436115070E-1,3.260000050E-2,-2.329999954E-2,-4.019999877E-2,5.675993227E-2
6.536115070E-1,1.429999992E-2,-4.140000045E-2,-4.999999702E-2,6.647142045E-2
6.636115070E-1,1.579999924E-2,-2.049999870E-2,-5.969999731E-2,6.506903719E-2
6.736333820E-1,1.740000024E-2,9.699999355E-3,-9.879999608E-2,1.007883387E-1
6.836130700E-1,9.499999695E-3,1.960000023E-2,-8.889999986E-2,9.152933944E-2
6.936130700E-1,-1.740000024E-2,1.929999888E-2,-5.939999968E-2,6.483525219E-2
7.036130700E-1,4.999999888E-3,3.839999810E-2,-9.849999845E-2,1.058386014E-1
7.136115070E-1,-1.999999862E-3,4.789999872E-2,-1.278999895E-1,1.365899601E-1
7.236349450E-1,9.499999695E-3,3.819999844E-2,-1.473999918E-1,1.525655513E-1
7.336146320E-1,-8.999999613E-3,3.849999979E-2,-1.473999918E-1,1.526106403E-1
7.436146320E-1,9.999999311E-4,9.200000204E-3,-1.472999901E-1,1.475904031E-1
7.536130700E-1,1.030000020E-2,-3.979999945E-2,-1.669999957E-1,1.719858382E-1
7.636146320E-1,-7.999999798E-4,-4.949999973E-2,-1.473999918E-1,1.554916317E-1
7.736333820E-1,6.999999750E-3,-2.999999851E-4,-8.869999647E-2,8.897628544E-2
7.836115070E-1,2.510000020E-2,2.939999849E-2,-5.929999799E-2,7.078742602E-2
7.936130700E-1,4.799999762E-3,2.049999870E-2,-3.969999775E-2,4.493750957E-2
8.036115070E-1,5.200000014E-3,-7.499999832E-3,-4.949999973E-2,5.033428226E-2
8.136130700E-1,-3.199999919E-3,-2.549999952E-2,-4.939999804E-2,5.568527437E-2
8.236333820E-1,-1.139999926E-2,-1.420000009E-2,-4.930000007E-2,5.255558955E-2
8.336146320E-1,9.300000034E-3,2.599999867E-2,-2.960000001E-2,4.048024126E-2
8.436130700E-1,-9.999999747E-5,5.590000004E-2,-9.999999776E-3,5.678749862E-2
8.536146320E-1,1.399999950E-2,5.419999734E-2,-3.009999916E-2,6.355823823E-2
8.636161950E-1,4.319999740E-2,5.719999969E-2,-8.889999986E-2,1.141984663E-1
8.736333820E-1,1.370000001E-2,3.070000000E-2,-1.084999964E-1,1.135888604E-1
8.836130700E-1,3.599999938E-3,2.429999970E-2,-1.280999929E-1,1.304341142E-1
8.936130700E-1,3.700000001E-3,2.719999850E-2,-1.574999988E-1,1.598742617E-1
9.036130700E-1,-2.510000020E-2,-2.779999934E-2,-1.377999932E-1,1.427994681E-1
9.136115070E-1,-3.339999914E-2,-6.379999965E-2,-1.081999987E-1,1.299739960E-1
9.236318200E-1,-2.999999933E-2,-9.879999608E-2,-4.919999838E-2,1.143769165E-1
9.336130700E-1,-1.730000041E-2,-6.650000066E-2,-1.960000023E-2,7.145418190E-2
9.436130700E-1,-3.299999982E-3,-3.409999982E-2,-5.859999731E-2,6.787974420E-2
9.536130700E-1,8.799999952E-3,-3.000000026E-3,-4.869999737E-2,4.957952947E-2
9.636130700E-1,4.050000012E-2,1.779999956E-2,-4.859999940E-2,6.571947912E-2
9.736318200E-1,2.169999853E-2,3.799999878E-2,-6.819999963E-2,8.103165920E-2
9.836115070E-1,-4.999999888E-3,2.239999920E-2,-7.789999992E-2,8.121065170E-2
9.936115070E-1,-1.480000000E-2,2.379999869E-2,-1.072999984E-1,1.108998178E-1
1.003613070E0,-4.699999932E-3,6.599999964E-3,-4.839999974E-2,4.907351601E-2
1.013613070E0,6.000000052E-3,-2.049999870E-2,-9.099999443E-3,2.321766434E-2
1.023633382E0,1.899999939E-2,-1.779999956E-2,6.999999750E-4,2.604476840E-2
1.033613070E0,3.119999915E-2,-1.640000008E-2,-2.840000018E-2,4.526543892E-2
1.043614632E0,3.489999846E-2,3.799999831E-3,-9.690000117E-2,1.030633791E-1
1.053611507E0,1.649999991E-2,4.100000020E-3,-1.458999962E-1,1.468872659E-1
1.063613070E0,7.100000046E-3,1.409999933E-2,-1.458999962E-1,1.467515890E-1
1.073633382E0,3.590000048E-2,2.419999987E-2,-7.719999552E-2,8.851152092E-2
1.083613070E0,3.509999812E-2,-1.449999958E-2,-7.729999721E-2,8.612519622E-2
1.093614632E0,1.370000001E-2,-3.599999845E-2,-1.066999957E-1,1.134397592E-1
1.103614632E0,5.099999718E-3,-6.599999964E-2,-1.065999940E-1,1.254813479E-1
